[DEBUG] [2022-03-07 22:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4108d373d1a8497abb474d629c5c41a1, msgType : 19
[DEBUG] [2022-03-07 22:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 29cb59a9b05240f6b75605feb5ad1df8, msgType : 19
[DEBUG] [2022-03-07 22:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0a410ca5026c46ddb0bddc7f3ee3a0e9, msgType : 19
[DEBUG] [2022-03-07 22:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 609edd4f15704b7a8c09162fb30587dd, msgType : 19
[DEBUG] [2022-03-07 22:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bb887e5dc5fd4e3aa60d22d764cdf9a6, msgType : 19
[DEBUG] [2022-03-07 22:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c772692b625340e7a8282f397740e1d7, msgType : 19
[DEBUG] [2022-03-07 22:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 886d43089b384127842b096807157a53, msgType : 19
[DEBUG] [2022-03-07 22:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 88ffdbbbc61046c4a0163e789979df2d, msgType : 19
[DEBUG] [2022-03-07 22:00:28] ConsoleContractImpl.callContract(441) | sendCall request, params: [abc, def], contractAddress: 0x8c36d539c02d836cce5e651c45f1074701269f3a, contractName: BallChainAPI, functionName:constr, paramSize: 2
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@64712be 
[INFO] [2022-03-07 22:00:28] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5510c1a08a314c46b5d254facdc388c9, msgType : 18
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:00:28] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:00:28] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@53499d85 
[INFO] [2022-03-07 22:00:28] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 139817497d46448b81ad8671e7845852, msgType : 19
[DEBUG] [2022-03-07 22:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c15f166d40594edfb89609deb1d4cdd2, msgType : 19
[DEBUG] [2022-03-07 22:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bc61423ee3224d72a665e98d35d66bcd, msgType : 19
[DEBUG] [2022-03-07 22:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 906a21b2ce574cd2b400a2f3f0145c60, msgType : 19
[DEBUG] [2022-03-07 22:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c357753570ae4c3fbc40848a1825cd65, msgType : 19
[DEBUG] [2022-03-07 22:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3886e946623849048ed7f7500dd503c1, msgType : 19
[DEBUG] [2022-03-07 22:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 672e8fa662e24a8abc6fee521c688a10, msgType : 19
[DEBUG] [2022-03-07 22:00:34] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8a154726603e43dc92c3881e03489123, msgType : 19
[DEBUG] [2022-03-07 22:00:35] ConsoleContractImpl.callContract(441) | sendCall request, params: [abc, def], contractAddress: 0x8c36d539c02d836cce5e651c45f1074701269f3a, contractName: BallChainAPI, functionName:constr, paramSize: 2
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@30ed9c6c 
[INFO] [2022-03-07 22:00:35] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:00:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2743e6aef07342389955c0daca036dfb, msgType : 18
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:00:35] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:00:35] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@782a4fff 
[INFO] [2022-03-07 22:00:35] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7c05640599e141f4891b58a8ce8981dc, msgType : 19
[DEBUG] [2022-03-07 22:00:36] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8e4943ceaaf4409486f5f17f38f887bb, msgType : 19
[DEBUG] [2022-03-07 22:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bdece191b4e24383b5ad0064c3104423, msgType : 19
[DEBUG] [2022-03-07 22:00:38] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 09664db32fa34e219c0b5fd069650838, msgType : 19
[DEBUG] [2022-03-07 22:00:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a052fdf0060b4c3ba3ead2a15fbb73f2, msgType : 19
[DEBUG] [2022-03-07 22:00:40] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 86d870ee49414897a8242843014739e3, msgType : 19
[DEBUG] [2022-03-07 22:00:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bf5f7d0584c04f6ba6b8029606822626, msgType : 19
[DEBUG] [2022-03-07 22:00:42] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f2934e04831748769094a39f744cb846, msgType : 19
[DEBUG] [2022-03-07 22:00:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1bbe082ee98c47d599201dd7baef9efe, msgType : 19
[DEBUG] [2022-03-07 22:00:44] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5a54149f16014b74854a3b6005ec0063, msgType : 19
[DEBUG] [2022-03-07 22:00:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7777a8960dde4a7e996e7f9540bffa1a, msgType : 19
[DEBUG] [2022-03-07 22:00:46] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f5eb2f670a4c4696a819a403233849e7, msgType : 19
[DEBUG] [2022-03-07 22:00:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8ae2329f2b6245bdaa46d387b8a02ecb, msgType : 19
[DEBUG] [2022-03-07 22:00:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6de5c00a7a814012938208611aa2f67f, msgType : 19
[DEBUG] [2022-03-07 22:00:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c033c3a3ccc64c5984c5840917aa4cb3, msgType : 19
[DEBUG] [2022-03-07 22:00:50] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ec7db527b3514350ada19001da595cea, msgType : 19
[DEBUG] [2022-03-07 22:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a9123c081e25435e97c6c91d9e85c292, msgType : 19
[DEBUG] [2022-03-07 22:00:52] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4c4f07af0ffa49aa89a146f0d06429e7, msgType : 19
[DEBUG] [2022-03-07 22:00:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 12112911efe5420d8fd2b29defdab66c, msgType : 19
[DEBUG] [2022-03-07 22:00:54] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f7a26587bfe44fe7a2c16cf4d3281459, msgType : 19
[DEBUG] [2022-03-07 22:00:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 089fdbe4624e4c02a9a0654674781ba7, msgType : 19
[DEBUG] [2022-03-07 22:00:56] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 81da952a9c044545b8c11e001bbced10, msgType : 19
[DEBUG] [2022-03-07 22:00:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f321ad3dffcb4b4e86006d8298c8cd6e, msgType : 19
[DEBUG] [2022-03-07 22:00:58] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4002a520649c4560bb08d48b3684396c, msgType : 19
[DEBUG] [2022-03-07 22:01:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dafb22c5f10f4d9bac920a60a1120036, msgType : 19
[DEBUG] [2022-03-07 22:01:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1f299f7903bd4560b5c663a88e8da9d3, msgType : 19
[DEBUG] [2022-03-07 22:01:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3383ca223f554c4886f2050f74ff3f1a, msgType : 19
[DEBUG] [2022-03-07 22:01:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6a60af146e594a5cab8d0ae0a3199677, msgType : 19
[DEBUG] [2022-03-07 22:01:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c4f23750242d4b0fb55e5000cb7f4d26, msgType : 19
[DEBUG] [2022-03-07 22:01:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ccaf763d708342c5828847e5eb206c3f, msgType : 19
[DEBUG] [2022-03-07 22:01:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 674cdde0e5784b5ca3a666c8593acf5d, msgType : 19
[DEBUG] [2022-03-07 22:01:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 81c08a55b4f247ff8f9e8d3ac007493b, msgType : 19
[DEBUG] [2022-03-07 22:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 568e752f6fb546be8b898d66cfbb8b8a, msgType : 19
[DEBUG] [2022-03-07 22:01:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fea48020635f4c0bbc38f84d31a1ac50, msgType : 19
[DEBUG] [2022-03-07 22:01:10] ConsoleContractImpl.callContract(441) | sendCall request, params: [], contractAddress: 0x8c36d539c02d836cce5e651c45f1074701269f3a, contractName: BallChainAPI, functionName:get, paramSize: 0
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@46c670a6 
[INFO] [2022-03-07 22:01:10] ABIObjectFactory.createObject(32) |  name: get
